RIGHT;1.0;0.0;0.0406;
LEFT;1.0;0.0;0.0399;
RIGHT;1.0;0.0;0.0406;
RIGHT;1.0;0.0;0.0399;
RIGHT;1.0;0.0;0.0391;
RIGHT;1.0;0.0;0.0384;
RIGHT;1.0;0.0;0.0377;
RIGHT;1.0;0.0;0.0369;
RIGHT;1.0;0.0;0.0362;
RIGHT;1.0;0.0;0.0355;
RIGHT;1.0;0.0;0.0348;
RIGHT;1.0;0.0;0.034;
RIGHT;1.0;0.0;0.0333;
RIGHT;1.0;0.0;0.0326;
RIGHT;1.0;0.0;0.0319;
RIGHT;1.0;0.0;0.0312;
RIGHT;1.0;0.0;0.0305;
RIGHT;1.0;0.0;0.0298;
RIGHT;1.0;0.0;0.0291;
RIGHT;1.0;0.0;0.0284;
RIGHT;1.0;0.0;0.0277;
RIGHT;1.0;0.0;0.027;
RIGHT;1.0;0.0;0.0263;
RIGHT;1.0;0.0;0.0256;
RIGHT;1.0;0.0;0.0249;
RIGHT;1.0;0.0;0.0243;
RIGHT;1.0;0.0;0.0236;
RIGHT;1.0;0.0;0.023;
RIGHT;1.0;0.0;0.0223;
RIGHT;1.0;0.0;0.0217;
RIGHT;1.0;0.0;0.021;
RIGHT;1.0;0.0;0.0204;
DOWN;1.0;0.0;0.0198;
DOWN;1.0;0.0;0.0193;
DOWN;1.0;0.0;0.0189;
DOWN;1.0;0.0;0.0184;
DOWN;1.0;0.0;0.018;
DOWN;1.0;0.0;0.0177;
DOWN;1.0;0.0;0.0173;
DOWN;1.0;0.0;0.017;
DOWN;0.0491;0.0;0.0167;
DOWN;0.0495;0.0;0.0164;
DOWN;0.0498;0.0;0.0161;
DOWN;0.0502;0.0;0.0159;
DOWN;0.0506;0.0;0.0158;
DOWN;0.051;0.0;0.0156;
DOWN;0.0514;0.0;0.0155;
DOWN;0.0519;0.0;0.0155;
DOWN;0.0523;0.0;0.0155;
DOWN;0.0528;0.0;0.0155;
DOWN;0.0533;0.0;0.0155;
DOWN;0.0539;0.0;0.0156;
DOWN;0.0544;0.0;0.0158;
DOWN;0.055;0.0;0.0159;
DOWN;0.0555;0.0;0.0161;
DOWN;0.0561;0.0;0.0164;
LEFT;0.0567;0.0;0.0167;
LEFT;0.0565;0.0;0.0174;
LEFT;0.0562;0.0;0.0181;
LEFT;0.056;0.0;0.0188;
LEFT;0.0559;0.0;0.0196;
LEFT;0.0558;0.0;0.0203;
LEFT;0.0557;0.0;0.021;
LEFT;0.0557;0.0;0.0218;
LEFT;0.0557;0.0;0.0225;
LEFT;0.0558;0.0;0.0233;
LEFT;0.0559;0.0;0.024;
LEFT;0.056;0.0;0.0248;
LEFT;0.0562;0.0;0.0255;
LEFT;0.0565;0.0;0.0263;
LEFT;0.0567;0.0;0.027;
LEFT;0.057;0.0;0.0278;
LEFT;0.0574;0.0;0.0285;
LEFT;0.0578;0.0;0.0293;
LEFT;0.0582;0.0;0.03;
LEFT;0.0587;0.0;0.0308;
LEFT;0.0592;0.0;0.0315;
LEFT;0.0592;0.0;0.0323;
LEFT;0.0592;0.0;0.0331;
LEFT;0.0597;0.0;0.0338;
LEFT;0.0559;0.0;0.0346;
LEFT;0.0559;0.0;0.0353;
LEFT;0.0559;0.0;0.0361;
LEFT;0.0559;0.0;0.0369;
LEFT;0.0559;0.0;0.0376;
LEFT;0.0559;0.0;0.0384;
LEFT;0.0559;0.0;0.0392;
LEFT;0.0559;0.0;0.0384;
LEFT;0.0559;0.0;0.0376;
LEFT;0.0559;0.0;0.0369;
LEFT;0.0559;0.0;0.0361;
LEFT;0.0559;0.0;0.0353;
LEFT;0.0559;0.0;0.0346;
LEFT;0.0559;0.0;0.0338;
LEFT;0.0559;0.0;0.0331;
LEFT;0.0559;0.0;0.0323;
LEFT;0.0559;0.0;0.0315;
LEFT;0.0559;0.0;0.0308;
LEFT;0.0559;0.0;0.03;
LEFT;0.0559;0.0;0.0293;
LEFT;0.0559;0.0;0.0285;
LEFT;0.0559;0.0;0.0278;
LEFT;0.0559;0.0;0.027;
LEFT;0.0559;0.0;0.0263;
UP;0.0559;0.0;0.0255;
UP;0.0552;0.0;0.0253;
UP;0.0545;0.0;0.0252;
UP;0.0538;0.0;0.025;
UP;0.0532;0.0;0.0249;
UP;0.0525;0.0;0.0249;
UP;0.0519;0.0;0.0248;
UP;0.0513;0.0;0.0248;
UP;0.0507;0.0;0.0247;
UP;0.0501;0.0;0.0248;
UP;0.0495;0.0;0.0248;
UP;0.049;0.0;0.0249;
RIGHT;0.0484;0.0;0.0249;
RIGHT;0.0489;0.0;0.0257;
RIGHT;0.0494;0.0;0.0265;
RIGHT;0.05;0.0;0.0272;
RIGHT;0.0506;0.0;0.028;
RIGHT;0.0512;0.0;0.0288;
RIGHT;0.0519;0.0;0.0296;
RIGHT;0.0529;0.0;0.0303;
RIGHT;0.0533;0.0;0.0311;
RIGHT;0.0533;0.0;0.0319;
RIGHT;0.0533;0.0;0.0326;
RIGHT;0.0533;0.0;0.0334;
UP;0.0533;0.0;0.0342;
UP;0.0531;0.0;0.0342;
UP;0.0528;0.0;0.0343;
UP;0.0526;0.0;0.0345;
UP;0.0523;0.0;0.0346;
UP;0.0521;0.0;0.0347;
UP;0.052;0.0;0.0349;
UP;0.0518;0.0;0.0351;
UP;0.0517;0.0;0.0353;
UP;0.0516;0.0;0.0355;
UP;0.0515;0.0;0.0357;
UP;0.0515;0.0;0.036;
LEFT;0.0514;0.0;0.0362;
LEFT;0.0525;0.0;0.0355;
LEFT;0.0536;0.0;0.0348;
LEFT;0.0536;0.0;0.034;
LEFT;0.0537;0.0;0.0333;
LEFT;0.0538;0.0;0.0326;
LEFT;0.0539;0.0;0.0319;
LEFT;0.054;0.0;0.0312;
LEFT;0.0541;0.0;0.0305;
LEFT;0.0543;0.0;0.0298;
LEFT;0.0545;0.0;0.0291;
LEFT;0.0547;0.0;0.0284;
UP;0.0549;0.0;0.0277;
UP;0.0541;0.0;0.028;
UP;0.0533;0.0;0.0284;
UP;0.0526;0.0;0.0288;
UP;0.0519;0.0;0.0292;
UP;0.0512;0.0;0.0296;
UP;0.0506;0.0;0.03;
UP;0.05;0.0;0.0305;
UP;0.0494;0.0;0.0309;
UP;0.0489;0.0;0.0314;
UP;0.0484;0.0;0.0319;
UP;0.048;0.0;0.0324;
LEFT;0.0477;0.0;0.0329;
LEFT;0.0482;0.0;0.0323;
LEFT;0.0488;0.0;0.0317;
LEFT;0.0495;0.0;0.0312;
LEFT;0.0497;0.0;0.0306;
LEFT;0.0497;0.0;0.0301;
LEFT;0.0497;0.0;0.0296;
LEFT;0.0497;0.0;0.029;
LEFT;0.0497;0.0;0.0285;
LEFT;0.0497;0.0;0.028;
LEFT;0.0497;0.0;0.0275;
LEFT;0.0497;0.0;0.0271;
LEFT;0.0497;0.0;0.0266;
LEFT;0.0496;0.0;0.0262;
LEFT;0.0495;0.0;0.0257;
LEFT;0.0495;0.0;0.0253;
LEFT;0.0495;0.0;0.0249;
LEFT;0.0496;0.0;0.0246;
LEFT;0.0497;0.0;0.0242;
LEFT;0.0499;0.0;0.0239;
LEFT;0.0501;0.0;0.0236;
LEFT;0.0504;0.0;0.0233;
LEFT;0.0507;0.0;0.023;
LEFT;0.051;0.0;0.0227;
DOWN;0.0514;0.0;0.0225;
DOWN;0.0524;0.0;0.0218;
DOWN;0.0533;0.0;0.021;
DOWN;0.0543;0.0;0.0203;
UP;0.0542;0.0;0.0196;
DOWN;0.0534;0.0;0.0203;
UP;0.0527;0.0;0.0196;
UP;0.0519;0.0;0.0203;
DOWN;0.0511;0.0;0.021;
UP;0.0503;0.0;0.0203;
DOWN;0.0495;0.0;0.021;
DOWN;0.0488;0.0;0.0203;
UP;0.0481;0.0;0.0196;
UP;0.0472;0.0;0.0203;
DOWN;0.0464;0.0;0.021;
